,,,,,,,
,,,,,,,
,Time,status,note,stop time,run time,total stop time,total run time
,2025/11/19 10:13:19,end,switch to K1.8,0,0,3:14:39,8:35:46
,2025/11/19 13:37:25,start,switch back to k18BR ,0:00:00,3:28:30,,
,2025/11/19 18:41:47,stop,HD MPS,0:06:23,0:00:00,,
,2025/11/19 18:48:10,start,,0:00:00,1:16:05,,
,2025/11/19 20:04:15,stop,MPS,0:05:45,0:00:00,,
,2025/11/19 20:10:00,start,,0:00:00,0:57:58,,
,2025/11/19 21:07:58,stop,HD MPS,0:16:39,0:00:00,,
,2025/11/19 21:24:37,start,,0:00:00,7:38:01,,
,2025/11/20 05:02:38,stop,RCS MPS,0:06:04,0:00:00,,
,2025/11/20 05:08:42,start,,0:00:00,0:30:27,,
,2025/11/20 05:39:09,stop,RCS MPS,0:04:27,0:00:00,,
,2025/11/20 05:43:36,start,,0:00:00,1:57:57,,
,2025/11/20 07:41:33,stop,MR:入射キッカーTDC MPS発報,0:05:01,0:00:00,,
,2025/11/20 07:46:34,start,,0:00:00,0:28:08,,
,2025/11/20 08:14:42,stop,3NBT:QMPS(DOWN1) MPS発報　,0:07:50,0:00:00,,
,2025/11/20 08:22:32,start,,0:00:00,0:37:28,,
,2025/11/20 09:00:00,end,switch to K1.8,0,0,0:52:09,16:54:34
,2025/11/20 09:39:07,start,switched to K1.8BR,0:00:00,0:28:45,,
,2025/11/20 10:07:52,end,switched to K1.8,0,0,0:00:00,0:28:44
,2025/11/20 12:18:42,start,switched back to K1.8BR AND MPSリセット(MR Inhibit),0:00:00,2:34:36,,
,2025/11/20 14:53:18,stop,MPS reset,0:00:23,0:00:00,,
,2025/11/20 14:53:41,start,,0:00:00,2:23:32,,
,2025/11/20 17:17:13,stop,MR:DCCT MPS,1:02:05,0:00:00,,
,2025/11/20 18:19:18,start,,0:00:00,1:22:38,,
,2025/11/20 19:41:56,stop,,0:00:50,0:00:00,,
,2025/11/20 19:42:46,start,,0:00:00,0:05:22,,
,2025/11/20 19:48:08,stop,,0:01:08,0:00:00,,
,2025/11/20 19:49:16,start,,0:00:00,4:51:45,,
,2025/11/21 00:41:01,stop,MR MPS,0:02:46,0:00:00,,
,2025/11/21 00:43:47,start,,0:00:00,0:15:43,,
,2025/11/21 00:59:30,stop,MR MPS,0:01:24,0:00:00,,
,2025/11/21 01:00:54,start,,0:00:00,0:17:59,,
,2025/11/21 01:18:53,stop,MR MPS,0:02:04,0:00:00,,
,2025/11/21 01:20:57,start,,0:00:00,0:27:11,,
,2025/11/21 01:48:08,stop,MR:入射キッカーTDC MPS発報(MR Inhibit),0:01:11,0:00:00,,
,2025/11/21 01:49:19,start,,0:00:00,0:19:36,,
,2025/11/21 02:08:55,stop,MR:入射キッカーTDC MPS発報(MR Inhibit),0:01:53,0:00:00,,
,2025/11/21 02:10:48,start,,0:00:00,1:11:58,,
,2025/11/21 03:22:46,stop,MR:入射キッカーTDC MPS発報(MR Inhibit),0:01:53,0:00:00,,
,2025/11/21 03:24:39,start,,0:00:00,0:10:18,,
,2025/11/21 03:34:57,stop,LI:BLM MPS発報 ,0:01:00,0:00:00,,
,2025/11/21 03:35:57,start,,0:00:00,1:23:12,,
,2025/11/21 04:59:09,stop,MR:入射キッカーTDC MPS発報(MR Inhibit),0:03:01,0:00:00,,
,2025/11/21 05:02:10,start,,0:00:00,0:02:17,,
,2025/11/21 05:04:27,stop,MR:入射キッカーTDC MPS発報,0:01:45,0:00:00,,
,2025/11/21 05:06:12,start,,0:00:00,0:32:59,,
,2025/11/21 05:39:11,stop,HD:BLM(B-line) MPS発報(MR Inhibit),0:10:45,0:00:00,,
,2025/11/21 05:49:56,start,,0:00:00,2:06:42,,
,2025/11/21 07:56:38,stop,MR:Spill Feedback MPS発報(MR Inhibit),1:47:08,0:00:00,,
,2025/11/21 09:43:46,start,,0:00:00,3:59:55,,
,2025/11/21 13:43:41,stop,LI:BLM MPS発報 ,0:01:04,0:00:00,,
,2025/11/21 13:44:45,start,,0:00:00,3:19:38,,
,2025/11/21 17:04:23,stop,HD mode change A+B -> A only,0:05:43,0:00:00,,
,2025/11/21 17:10:06,start,,0:00:00,3:01:33,,
,2025/11/21 20:11:39,stop,,0:06:38,0:00:00,,
,2025/11/21 20:18:17,start,,0:00:00,2:15:56,,
,2025/11/21 22:34:13,stop,Liniac MPS,0:02:04,0:00:00,,
,2025/11/21 22:36:17,start,,0:00:00,3:40:47,,
,2025/11/22 02:17:04,stop,modify h18 magnet value,0:04:59,0:00:00,,
,2025/11/22 02:22:03,start,,0:00:00,0:35:12,,
,2025/11/22 02:57:15,stop,HD MPS,0:08:25,0:00:00,,
,2025/11/22 03:05:40,start,,0:00:00,2:01:09,,
,2025/11/22 05:06:49,stop,HD MPS,0:06:31,0:00:00,,
,2025/11/22 05:13:20,start,,0:00:00,5:14:36,,
,2025/11/22 10:27:56,end,swich to K1.8,0,0,3:54:39,42:14:27
,2025/11/22 11:16:43,start,,0,0,,
,2025/11/22 11:16:43,stop,LI:BLM MPS発報,0:28:51,0:00:00,,
,2025/11/22 11:45:34,start,,0:00:00,1:47:01,,
,2025/11/22 13:32:35,stop,RCS:RFPS04 MPS発報,0:06:34,0:00:00,,
,2025/11/22 13:39:09,start,,0:00:00,3:16:35,,
,2025/11/22 16:55:44,stop,,0:01:54,0:00:00,,
,2025/11/22 16:57:38,start,,0:00:00,0:32:22,,
,2025/11/22 17:30:00,stop,,0,0,,
,2025/11/22 17:58:03,start,,0:00:00,0:42:02,,
,2025/11/22 18:40:05,stop,,0:22:21,0:00:00,,
,2025/11/22 19:02:26,start,,0:00:00,0:11:46,,
,2025/11/22 19:14:12,stop,,0:03:34,0:00:00,,
,2025/11/22 19:17:46,start,,0:00:00,0:19:22,,
,2025/11/22 19:37:08,stop,,0:03:53,0:00:00,,
,2025/11/22 19:41:01,start,,0:00:00,0:06:48,,
,2025/11/22 19:47:49,stop,,0:04:56,0:00:00,,
,2025/11/22 19:52:45,start,,0:00:00,3:05:47,,
,2025/11/22 22:58:32,stop,A only -> A+B line,0:03:19,0:00:00,,
,2025/11/22 23:01:51,start,,0:00:00,2:40:08,,
,2025/11/23 01:41:59,stop,MPS LINIAC,0:01:00,0:00:00,,
,2025/11/23 01:42:59,start,,0:00:00,4:42:18,,
,2025/11/23 06:25:17,stop,HD MPS,0:06:43,0:00:00,,
,2025/11/23 06:32:00,start,,0:00:00,5:24:12,,
,2025/11/23 11:56:12,stop,SDTL03 RF MPS,0:14:39,0:00:00,,
,2025/11/23 12:10:51,start,,0:00:00,0:09:03,,
,2025/11/23 12:19:54,stop,MR:RFPS05 MPS発報,0:10:10,0:00:00,,
